epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,6111.12,1.09072,0.51151,0.98905,0.92663,0.89897,0.93886,0.46585,1.60681,0.61632,1.09962,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6220.02,1.08585,0.51022,0.98991,0.92622,0.8991,0.93869,0.46622,1.60669,0.61599,1.09955,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6329.18,1.08512,0.50884,0.98758,0.9262,0.89947,0.93898,0.46616,1.60692,0.61586,1.09956,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6437.27,1.0829,0.50784,0.98816,0.92624,0.89938,0.93895,0.46621,1.60664,0.61561,1.09941,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6546.87,1.08884,0.50905,0.98747,0.92661,0.89927,0.93908,0.4663,1.6068,0.6156,1.09933,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6655.26,1.07922,0.50627,0.98547,0.927,0.89947,0.93934,0.46644,1.60685,0.61549,1.09928,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6763.38,1.07684,0.50352,0.98574,0.92719,0.89983,0.93941,0.46635,1.60677,0.61552,1.09911,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6871.67,1.07433,0.50403,0.98499,0.92771,0.89942,0.93936,0.46651,1.60659,0.61533,1.09897,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6980.71,1.07061,0.50192,0.9842,0.92759,0.8991,0.93938,0.46655,1.60673,0.61505,1.09877,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7085.55,1.07118,0.50105,0.98445,0.92769,0.89886,0.93924,0.46655,1.60675,0.61489,1.09861,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7188.29,1.07474,0.50203,0.98308,0.92802,0.89905,0.93942,0.46647,1.60689,0.61469,1.09845,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7294.99,1.06692,0.49816,0.98123,0.92835,0.89872,0.93953,0.46664,1.60675,0.61449,1.09826,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7405.72,1.06707,0.49823,0.98017,0.92876,0.89803,0.93953,0.46682,1.60687,0.61451,1.09819,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7515.22,1.06366,0.49655,0.98088,0.92843,0.89798,0.93964,0.46673,1.60712,0.61423,1.09823,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7623.9,1.06765,0.49854,0.98305,0.92939,0.89752,0.93976,0.46677,1.60753,0.61443,1.0982,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7733.8,1.05567,0.49274,0.97757,0.93029,0.89774,0.94,0.46668,1.60779,0.61453,1.09819,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7842,1.06207,0.49468,0.97976,0.93035,0.89705,0.93989,0.46661,1.60804,0.61414,1.09829,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7951.01,1.05904,0.493,0.97796,0.93089,0.89727,0.93991,0.46653,1.60827,0.61394,1.09833,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8061.72,1.05752,0.49193,0.97795,0.93078,0.89686,0.93992,0.46679,1.60831,0.61347,1.09834,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8170.54,1.05608,0.4903,0.97822,0.93086,0.89663,0.93966,0.46668,1.6086,0.6132,1.09822,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8277.83,1.05389,0.49024,0.97727,0.93074,0.89643,0.93982,0.46681,1.6088,0.61311,1.098,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8383.1,1.0574,0.49055,0.97721,0.92981,0.89798,0.94005,0.46665,1.60896,0.61278,1.09781,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8489.52,1.04947,0.48705,0.97613,0.9297,0.89784,0.94014,0.46658,1.60925,0.61259,1.09775,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8596.59,1.05058,0.48663,0.97544,0.92975,0.89798,0.94039,0.46645,1.60911,0.61245,1.09756,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8701.02,1.0438,0.48448,0.97258,0.92973,0.89796,0.94034,0.46652,1.60925,0.61207,1.09739,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8806.19,1.04516,0.48452,0.97346,0.92941,0.89853,0.94014,0.46656,1.60914,0.612,1.09728,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8914.09,1.04073,0.48188,0.97168,0.9307,0.89781,0.94032,0.46698,1.60922,0.61187,1.097,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9026.52,1.0405,0.4821,0.97037,0.93102,0.89747,0.94054,0.46691,1.60915,0.61162,1.09685,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9137.89,1.03567,0.47962,0.96968,0.93031,0.89784,0.94034,0.4665,1.60926,0.61137,1.09674,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9285.78,1.04829,0.46523,0.98191,0.92989,0.89892,0.94052,0.46612,1.6096,0.61133,1.09673,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9396.51,1.04051,0.46096,0.97982,0.93005,0.8994,0.94066,0.46594,1.60985,0.61119,1.09675,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9508.57,1.03583,0.45864,0.9779,0.93032,0.89879,0.94055,0.46565,1.61026,0.61092,1.09688,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9622.16,1.0314,0.45635,0.97697,0.93085,0.89799,0.94043,0.4656,1.61049,0.61084,1.09698,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9733.18,1.02596,0.45441,0.9742,0.9301,0.89845,0.93992,0.46542,1.61097,0.61083,1.09719,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9834.73,1.02436,0.45267,0.97361,0.93066,0.8978,0.94024,0.46547,1.61113,0.61087,1.0972,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9936.13,1.02027,0.45095,0.97321,0.93087,0.89691,0.9397,0.46522,1.61186,0.61051,1.09747,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10040.9,1.01823,0.44936,0.97185,0.93093,0.89729,0.9399,0.46511,1.61228,0.61064,1.09753,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10141.9,1.0157,0.4475,0.97041,0.93123,0.89635,0.93981,0.46492,1.61276,0.61043,1.09771,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10244.4,1.0126,0.44655,0.96955,0.93082,0.8971,0.94002,0.46493,1.61309,0.61055,1.09781,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
